cid,phone,name,loacationid,aadhar,dob,
1,6411648724,vishnu,2,5.08E+11,2002-06-10,20
2,8901256947,ravi,1,8.10E+11,1990-08-09,32
3,9470338673,ram,3,6.86E+11,1996-02-24,26
4,9817276260,sita,2,1.48E+11,1994-06-14,28
5,6324954587,ron,1,5.94E+11,2001-11-24,21
6,9036239075,kiv,3,1.10E+11,2003-08-06,19
7,6531181629,mike,4,4.07E+11,1996-08-21,26
8,9760898485,vani,5,8.07E+11,1992-01-01,30
9,6834739081,don,5,4.19E+11,1998-03-03,24
10,6433452321,king,4,5.32E+11,1991-09-13,31
11,7401438188,queen,5,5.52E+11,1999-10-08,23
